-0.57448,1.7597,1.8957
-0.57123,1.7447,1.877
-0.5672,1.7293,1.8598
-0.56241,1.7137,1.8441
-0.55688,1.6978,1.83
-0.55063,1.6817,1.8175
-0.5437,1.6655,1.8067
-0.53611,1.6492,1.7976
-0.52789,1.6327,1.7901
-0.51909,1.6163,1.7844
-0.50974,1.5998,1.7804
-0.49987,1.5833,1.7781
-0.48952,1.5669,1.7776
-0.47875,1.5506,1.7788
-0.46758,1.5343,1.7818
-0.45607,1.5183,1.7865
-0.44425,1.5023,1.7929
-0.43217,1.4865,1.801
-0.41986,1.471,1.8107
-0.40738,1.4556,1.8221
-0.39475,1.4404,1.8351
-0.38203,1.4254,1.8497
-0.36923,1.4107,1.8658
-0.35641,1.3962,1.8834
-0.3436,1.382,1.9025
-0.33083,1.368,1.9229
-0.31812,1.3543,1.9448
-0.30552,1.3408,1.9679
-0.29304,1.3275,1.9923
-0.28071,1.3145,2.0179
-0.26856,1.3017,2.0446
-0.2566,1.2892,2.0724
-0.60685,1.7928,1.8906
-0.60335,1.7769,1.8705
-0.59901,1.7607,1.852
-0.59385,1.7442,1.8351
-0.58789,1.7274,1.8198
-0.58115,1.7104,1.8062
-0.57367,1.6933,1.7943
-0.56548,1.6761,1.7841
-0.55662,1.6589,1.7757
-0.54712,1.6416,1.7691
-0.53703,1.6243,1.7643
-0.52639,1.607,1.7613
-0.51524,1.5898,1.7602
-0.50363,1.5727,1.7608
-0.49161,1.5558,1.7633
-0.47922,1.539,1.7676
-0.4665,1.5224,1.7736
-0.45351,1.5059,1.7814
-0.4403,1.4897,1.791
-0.42689,1.4738,1.8023
-0.41335,1.458,1.8153
-0.3997,1.4426,1.8299
-0.386,1.4273,1.8461
-0.37228,1.4124,1.8638
-0.35858,1.3977,1.8831
-0.34494,1.3833,1.9039
-0.33138,1.3691,1.926
-0.31794,1.3552,1.9495
-0.30465,1.3416,1.9744
-0.29153,1.3283,2.0004
-0.27861,1.3152,2.0277
-0.26591,1.3024,2.0561
-0.64156,1.8266,1.8871
-0.6378,1.8098,1.8656
-0.63313,1.7926,1.8457
-0.62756,1.7752,1.8274
-0.62112,1.7575,1.8108
-0.61385,1.7396,1.7959
-0.60577,1.7216,1.7829
-0.59693,1.7035,1.7716
-0.58735,1.6853,1.7622
-0.5771,1.6671,1.7546
-0.56621,1.649,1.7489
-0.55472,1.6309,1.7451
-0.5427,1.6129,1.7432
-0.53018,1.595,1.7432
-0.51722,1.5773,1.7451
-0.50387,1.5597,1.7489
-0.49018,1.5424,1.7546
-0.47621,1.5253,1.7621
-0.462,1.5085,1.7714
-0.4476,1.4919,1.7825
-0.43305,1.4756,1.7954
-0.41842,1.4596,1.81
-0.40373,1.4438,1.8263
-0.38904,1.4284,1.8442
-0.37438,1.4132,1.8637
-0.3598,1.3984,1.8848
-0.34532,1.3838,1.9073
-0.33098,1.3696,1.9312
-0.31682,1.3556,1.9564
-0.30285,1.342,1.983
-0.28911,1.3286,2.0108
-0.27562,1.3155,2.0398
-0.67882,1.8612,1.8854
-0.67477,1.8434,1.8623
-0.66973,1.8253,1.8409
-0.66372,1.8068,1.8211
-0.65677,1.7881,1.8031
-0.64891,1.7693,1.7869
-0.64018,1.7503,1.7725
-0.63062,1.7312,1.7601
-0.62027,1.712,1.7495
-0.60919,1.6929,1.7408
-0.59742,1.6739,1.7342
-0.58502,1.6549,1.7295
-0.57203,1.636,1.7268
-0.55852,1.6173,1.7261
-0.54454,1.5988,1.7273
-0.53015,1.5805,1.7306
-0.5154,1.5624,1.7358
-0.50035,1.5447,1.7429
-0.48506,1.5271,1.752
-0.46958,1.5099,1.7629
-0.45395,1.493,1.7757
-0.43824,1.4764,1.7903
-0.42249,1.4602,1.8066
-0.40675,1.4442,1.8247
-0.39106,1.4286,1.8443
-0.37546,1.4133,1.8656
-0.35998,1.3984,1.8885
-0.34468,1.3837,1.9128
-0.32958,1.3694,1.9385
-0.3147,1.3554,1.9656
-0.30008,1.3417,1.9939
-0.28574,1.3283,2.0235
-0.71885,1.8966,1.8858
-0.71449,1.8778,1.861
-0.70905,1.8585,1.8379
-0.70256,1.839,1.8166
-0.69504,1.8193,1.797
-0.68654,1.7994,1.7793
-0.6771,1.7793,1.7635
-0.66675,1.7592,1.7497
-0.65556,1.739,1.7378
-0.64357,1.7189,1.728
-0.63084,1.6989,1.7202
-0.61743,1.679,1.7145
-0.6034,1.6592,1.7109
-0.58881,1.6396,1.7094
-0.57371,1.6203,1.71
-0.55818,1.6012,1.7126
-0.54228,1.5824,1.7173
-0.52606,1.5638,1.724
-0.50959,1.5456,1.7327
-0.49293,1.5278,1.7434
-0.47613,1.5103,1.756
-0.45925,1.4931,1.7706
-0.44235,1.4763,1.7869
-0.42546,1.4598,1.8051
-0.40865,1.4438,1.8249
-0.39196,1.428,1.8465
-0.37542,1.4127,1.8697
-0.35907,1.3977,1.8944
-0.34296,1.383,1.9205
-0.3271,1.3687,1.9481
-0.31154,1.3547,1.977
-0.2963,1.3411,2.0072
-0.76189,1.9327,1.8885
-0.75719,1.9128,1.8619
-0.75132,1.8924,1.837
-0.7443,1.8718,1.8138
-0.73617,1.8509,1.7926
-0.72697,1.8298,1.7732
-0.71674,1.8087,1.7559
-0.70554,1.7875,1.7405
-0.69342,1.7662,1.7273
-0.68044,1.7451,1.7162
-0.66666,1.724,1.7072
-0.65215,1.7031,1.7004
-0.63697,1.6824,1.6958
-0.62119,1.6619,1.6933
-0.60488,1.6417,1.6931
-0.5881,1.6218,1.695
-0.57094,1.6021,1.6991
-0.55344,1.5829,1.7053
-0.53569,1.564,1.7136
-0.51775,1.5454,1.724
-0.49968,1.5273,1.7365
-0.48153,1.5095,1.7509
-0.46337,1.4921,1.7673
-0.44526,1.4752,1.7855
-0.42723,1.4586,1.8055
-0.40935,1.4425,1.8273
-0.39166,1.4267,1.8508
-0.37419,1.4113,1.8759
-0.35699,1.3964,1.9025
-0.34009,1.3817,1.9306
-0.32352,1.3674,1.9601
-0.3073,1.3535,1.9909
-0.80821,1.9696,1.8939
-0.80315,1.9484,1.8652
-0.7968,1.9269,1.8382
-0.78921,1.905,1.8132
-0.7804,1.8829,1.79
-0.77043,1.8607,1.7689
-0.75935,1.8383,1.7498
-0.74721,1.816,1.7329
-0.73407,1.7936,1.7181
-0.72,1.7713,1.7055
-0.70507,1.7492,1.6952
-0.68935,1.7273,1.6871
-0.67292,1.7055,1.6814
-0.65584,1.6841,1.6779
-0.6382,1.6629,1.6767
-0.62007,1.6421,1.6779
-0.60152,1.6217,1.6813
-0.58264,1.6016,1.6869
-0.56349,1.582,1.6948
-0.54415,1.5628,1.7049
-0.52469,1.544,1.7171
-0.50517,1.5256,1.7313
-0.48565,1.5077,1.7477
-0.4662,1.4902,1.7659
-0.44686,1.4732,1.7861
-0.4277,1.4566,1.8082
-0.40876,1.4404,1.832
-0.39009,1.4247,1.8574
-0.37172,1.4094,1.8845
-0.35369,1.3944,1.9132
-0.33603,1.3799,1.9432
-0.31877,1.3657,1.9747
-0.8581,2.0072,1.9021
-0.85264,1.9847,1.8712
-0.84578,1.9619,1.8421
-0.83756,1.9387,1.8149
-0.82801,1.9154,1.7897
-0.8172,1.8918,1.7665
-0.80518,1.8682,1.7456
-0.79201,1.8446,1.7268
-0.77776,1.8211,1.7103
-0.7625,1.7976,1.6961
-0.74631,1.7744,1.6843
-0.72926,1.7513,1.6749
-0.71145,1.7285,1.6678
-0.69295,1.7061,1.6632
-0.67385,1.684,1.6611
-0.65423,1.6622,1.6613
-0.63418,1.6409,1.6639
-0.61378,1.6201,1.6689
-0.59311,1.5997,1.6763
-0.57225,1.5797,1.6859
-0.55127,1.5603,1.6978
